cod,nume,cod_name,tip,sirsup,regiune,judet
1 017,MUNICIPIUL ALBA IULIA,siruta,1,10,7,1
1 026,ALBA IULIA,siruta,9,1 017,7,1
1 035,BÃRÃBANŢ,siruta,10,1 017,7,1
1 044,MICEŞTI,siruta,10,1 017,7,1
1 053,OARDA,siruta,10,1 017,7,1
1 062,PÂCLIŞA,siruta,10,1 017,7,1
1 213,MUNICIPIUL AIUD,siruta,4,10,7,1
1 222,AIUD,siruta,9,1 213,7,1
1 231,AIUDUL DE SUS,siruta,10,1 213,7,1
1 277,CIUMBRUD,siruta,11,1 213,7,1
1 240,GÂMBAŞ,siruta,10,1 213,7,1
1 286,GÂRBOVA DE JOS,siruta,11,1 213,7,1
1 295,GÂRBOVA DE SUS,siruta,11,1 213,7,1
1 302,GÂRBOVIŢA,siruta,11,1 213,7,1
1 259,MÃGINA,siruta,10,1 213,7,1
1 268,PÃGIDA,siruta,10,1 213,7,1
1 311,SÂNCRAI,siruta,11,1 213,7,1
1 320,ŢIFRA,siruta,11,1 213,7,1
1 348,MUNICIPIUL BLAJ,siruta,4,10,7,1
1 357,BLAJ,siruta,9,1 348,7,1
1 366,DELENI-OBÂRŞIE,siruta,10,1 348,7,1
1 375,FLITEŞTI,siruta,10,1 348,7,1
1 384,IZVOARELE,siruta,10,1 348,7,1
1 428,MÃNÃRADE,siruta,11,1 348,7,1
1 393,PETRISAT,siruta,10,1 348,7,1
1 437,SPÃTAC,siruta,11,1 348,7,1
1 400,TIUR,siruta,10,1 348,7,1
1 419,VEZA,siruta,10,1 348,7,1
1 874,MUNICIPIUL SEBEŞ,siruta,4,10,7,1
1 883,SEBEŞ,siruta,9,1 874,7,1
1 892,LANCRÃM,siruta,10,1 874,7,1
1 909,PETREŞTI,siruta,10,1 874,7,1
1 918,RÃHÃU,siruta,11,1 874,7,1
1 151,ORAŞ ABRUD,siruta,2,10,7,1
1 160,ABRUD,siruta,17,1 151,7,1
1 179,ABRUD-SAT,siruta,18,1 151,7,1
1 188,GURA CORNEI,siruta,18,1 151,7,1
1 197,SOHARU,siruta,18,1 151,7,1
2 915,ORAŞ BAIA DE ARIEŞ,siruta,2,10,7,1
2 924,BAIA DE ARIEŞ,siruta,17,2 915,7,1
2 933,BRÃZEŞTI,siruta,19,2 915,7,1
2 942,CIOARA DE SUS,siruta,19,2 915,7,1
2 951,MUNCELU,siruta,19,2 915,7,1
2 960,SARTÃŞ,siruta,19,2 915,7,1
2 979,SIMULEŞTI,siruta,19,2 915,7,1
1 455,ORAŞ CÂMPENI,siruta,2,10,7,1
1 464,CÂMPENI,siruta,17,1 455,7,1
1 473,BONCEŞTI,siruta,18,1 455,7,1
1 482,BORLEŞTI,siruta,18,1 455,7,1
1 491,BOTEŞTI,siruta,18,1 455,7,1
1 507,CERTEGE,siruta,18,1 455,7,1
1 516,COASTA VÂSCULUI,siruta,18,1 455,7,1
1 525,DÃNDUŢ,siruta,18,1 455,7,1
1 534,DEALU BISTRII,siruta,18,1 455,7,1
1 543,DEALU CAPSEI,siruta,18,1 455,7,1
1 552,DRIC,siruta,18,1 455,7,1
1 561,FAŢA ABRUDULUI,siruta,18,1 455,7,1
1 570,FLOREŞTI,siruta,18,1 455,7,1
1 589,FURDUIEŞTI,siruta,18,1 455,7,1
1 598,MIHOEŞTI,siruta,18,1 455,7,1
1 605,MOTORÃŞTI,siruta,18,1 455,7,1
1 614,PESTE VALEA BISTRII,siruta,18,1 455,7,1
1 623,PODURI,siruta,18,1 455,7,1
1 632,SORLIŢA,siruta,18,1 455,7,1
1 641,TOMUŞEŞTI,siruta,18,1 455,7,1
1 650,VALEA BISTRII,siruta,18,1 455,7,1
1 669,VALEA CASELOR,siruta,18,1 455,7,1
1 678,VÂRŞI,siruta,18,1 455,7,1
1 696,ORAŞ CUGIR,siruta,2,10,7,1
1 703,CUGIR,siruta,17,1 696,7,1
1 712,BOCŞITURA,siruta,18,1 696,7,1
1 721,BUCURU,siruta,18,1 696,7,1
1 730,CÃLENE,siruta,18,1 696,7,1
1 749,FEŢENI,siruta,18,1 696,7,1
