region_code,rcode_name,region_type,name,country_name
10,SIRUTA,JUDEŢ,ALBA,ROMÂNIA
29,SIRUTA,JUDEŢ,ARAD,ROMÂNIA
38,SIRUTA,JUDEŢ,ARGEŞ,ROMÂNIA
47,SIRUTA,JUDEŢ,BACÃU,ROMÂNIA
56,SIRUTA,JUDEŢ,BIHOR,ROMÂNIA
65,SIRUTA,JUDEŢ,BISTRIŢA-NÃSÃUD,ROMÂNIA
74,SIRUTA,JUDEŢ,BOTOŞANI,ROMÂNIA
83,SIRUTA,JUDEŢ,BRAŞOV,ROMÂNIA
92,SIRUTA,JUDEŢ,BRÃILA,ROMÂNIA
109,SIRUTA,JUDEŢ,BUZÃU,ROMÂNIA
118,SIRUTA,JUDEŢ,CARAŞ-SEVERIN,ROMÂNIA
519,SIRUTA,JUDEŢ,CÃLÃRAŞI,ROMÂNIA
127,SIRUTA,JUDEŢ,CLUJ,ROMÂNIA
136,SIRUTA,JUDEŢ,CONSTANŢA,ROMÂNIA
145,SIRUTA,JUDEŢ,COVASNA,ROMÂNIA
154,SIRUTA,JUDEŢ,DÂMBOVIŢA,ROMÂNIA
163,SIRUTA,JUDEŢ,DOLJ,ROMÂNIA
172,SIRUTA,JUDEŢ,GALAŢI,ROMÂNIA
528,SIRUTA,JUDEŢ,GIURGIU,ROMÂNIA
181,SIRUTA,JUDEŢ,GORJ,ROMÂNIA
190,SIRUTA,JUDEŢ,HARGHITA,ROMÂNIA
207,SIRUTA,JUDEŢ,HUNEDOARA,ROMÂNIA
216,SIRUTA,JUDEŢ,IALOMIŢA,ROMÂNIA
225,SIRUTA,JUDEŢ,IAŞI,ROMÂNIA
234,SIRUTA,JUDEŢ,ILFOV,ROMÂNIA
243,SIRUTA,JUDEŢ,MARAMUREŞ,ROMÂNIA
252,SIRUTA,JUDEŢ,MEHEDINŢI,ROMÂNIA
261,SIRUTA,JUDEŢ,MUREŞ,ROMÂNIA
270,SIRUTA,JUDEŢ,NEAMŢ,ROMÂNIA
289,SIRUTA,JUDEŢ,OLT,ROMÂNIA
