region_code,region_code_name,regiontype_id,name,country_id
10,siruta,1,alba,ro
29,siruta,1,arad,ro
38,siruta,1,argeş,ro
47,siruta,1,bacãu,ro
56,siruta,1,bihor,ro
65,siruta,1,bistriţa-nãsãud,ro
74,siruta,1,botoşani,ro
83,siruta,1,braşov,ro
92,siruta,1,brãila,ro
109,siruta,1,buzãu,ro
118,siruta,1,caraş-severin,ro
519,siruta,1,cãlãraşi,ro
127,siruta,1,cluj,ro
136,siruta,1,constanţa,ro
145,siruta,1,covasna,ro
154,siruta,1,dâmboviţa,ro
163,siruta,1,dolj,ro
172,siruta,1,galaţi,ro
528,siruta,1,giurgiu,ro
181,siruta,1,gorj,ro
190,siruta,1,harghita,ro
207,siruta,1,hunedoara,ro
216,siruta,1,ialomiţa,ro
225,siruta,1,iaşi,ro
234,siruta,1,ilfov,ro
243,siruta,1,maramureş,ro
252,siruta,1,mehedinţi,ro
261,siruta,1,mureş,ro
270,siruta,1,neamţ,ro
289,siruta,1,olt,ro
298,siruta,1,prahova,ro
305,siruta,1,satu mare,ro
314,siruta,1,sãlaj,ro
323,siruta,1,sibiu,ro
332,siruta,1,suceava,ro
341,siruta,1,teleorman,ro
350,siruta,1,timiş,ro
369,siruta,1,tulcea,ro
378,siruta,1,vaslui,ro
387,siruta,1,vâlcea,ro
396,siruta,1,vrancea,ro
403,siruta,1,bucureşti,ro
