"text", "icon_cls", "parent_id", "class_name"
"menu_cms","menu_cms",,
"menu_studies","menu_studies",,
"menu_audit","menu_audit",,
"menu_users","menu_users",,
"menu_cron","menu_cron",,
"cms_layouts","menu_cms_layout",1,"cmslayouts"
"cms_snippets","menu_cms_snippet",1,"cmssnippets"
"cms_files","menu_cms_files",1,"cmsfiles"
"cms_pages","menu_cms_pages",1,"cmspages"
"cms_news","menu_cms_news",1,"cmsnews"
"studies_main","menu_studies_main",2,"studiesmain"
"audit_main","menu_audit_main",3,"auditmain"
"users","menu_users",4,"users"
"cron_actions","cron_actions",5,"cronactions"
