RO Preferred Term ,English PT
A ASCULTA LA RADIO,RADIO LISTENING
A ASCULTA MUZICĂ,LISTENING TO MUSIC
A FI CONȘTIENT,KNOWLEDGE (AWARENESS)
A FI RESPONSABIL,ACCOUNTABILITY
A IEȘI LA PICNIC,PICNICKING
A STA AȘEZAT,SITTING
A STA LA PLAJĂ,SUNBATHING
A TRĂI ÎN STRĂINĂTATE,LIVING ABROAD
ABANDON ȘCOLAR,SCHOOL-LEAVING
ABANDONAREA STUDIILOR LICEALE,SECONDARY SCHOOL LEAVING
ABILITĂȚI DE CITIRE,READING SKILLS
ABILITĂȚI DE COMUNICARE,COMMUNICATION SKILLS
ABILITĂȚI DE SCRIERE,WRITING SKILLS
ABILITĂȚI LINGVISTICE,LANGUAGE SKILLS
ABILITĂȚI SOCIALE,SOCIAL SKILLS
ABILITĂȚI VERBALE,VERBAL SKILLS
ABILITATE ACADEMICĂ,ACADEMIC ABILITY
ABSENTEISM,ABSENTEEISM
ABSOLVENȚI,GRADUATES
ABSOLVENȚI DE STUDII DE LICENȚĂ,POST-GRADUATES
ABSTINENȚĂ SEXUALĂ,SEXUAL ABSTINENCE
ABUZ,ABUSE
ABUZ DE SOLVENȚI,SOLVENT ABUSE
ABUZ SEXUAL,SEXUAL ABUSE
ABUZUL COPIILOR,CHILD ABUSE
ABUZUL SEXUAL AL COPIILOR,CHILD SEXUAL ABUSE
ABUZUL VÂRSTNICILOR,ABUSE OF THE ELDERLY
ACCES LA EDUCAȚIE,ACCESS TO EDUCATION
ACCES LA INFORMAȚIE,ACCESS TO INFORMATION
ACCES LA INFRASTRUCTURĂ,ACCESS TO FACILITIES
ACCES LA INTERNET,INTERNET ACCESS
ACCES LA SERVICII DE SĂNĂTATE,ACCESS TO HEALTH SERVICES
ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY
ACCES LA ZONE RURALE,ACCESS TO COUNTRYSIDE
ACCESE DE FURIE,TANTRUMS
ACCIDENTE,ACCIDENTS
ACCIDENTE CASNICE,ACCIDENTS IN THE HOME
ACCIDENTE DE MUNCĂ,ACCIDENTS AT WORK
ACCIDENTE FEROVIARE,RAIL ACCIDENTS
ACCIDENTE ÎN AER,AIR ACCIDENTS
ACCIDENTE INDUSTRIALE,INDUSTRIAL INJURIES
ACCIDENTE LA TRANSPORT,TRANSPORT ACCIDENTS
ACCIDENTE MARITIME,MARINE ACCIDENTS
ACCIDENTE NUCLEARE,NUCLEAR ACCIDENTS
ACCIDENTE RUTIERE,ROAD ACCIDENTS
ACHIZIȚIE DE LOCUINȚĂ,HOME BUYING
ACȚIUNE COMUNITARĂ,COMMUNITY ACTION
ACȚIUNE POLITICĂ,POLITICAL ACTION
ACȚIUNE REVOLUȚIONARĂ,REVOLUTIONARY ACTION
ACȚIUNI,SHARES
ACȚIUNI ALE CONSUMATORILOR,CONSUMER ACTION
ACȚIUNI LEGALE,LEGAL ACTIONS
ACOPERIRE MASS MEDIA,MASS MEDIA COVERAGE
ACOPERIȘURI,ROOFS
ACORDUL PĂRINȚILOR,PARENTAL CENSORSHIP
ACORDURI COMERCIALE,TRADE AGREEMENTS
ACORDURI INTERNAȚIONALE,INTERNATIONAL AGREEMENTS
ACTE DE TERORISM,TERRORIST ACTS
ACTIVISTI ÎN DOMENIUL MEDIULUI,ENVIRONMENTALISTS
ACTIVITĂȚI ARTISTICE,ARTISTIC ACTIVITIES
ACTIVITĂȚI BANCARE ONLINE,ONLINE BANKING
ACTIVITĂȚI CULTURALE,CULTURAL ACTIVITIES
ACTIVITĂȚI DE GHERILĂ,GUERRILLA ACTIVITIES
ACTIVITĂȚI DE TIMP LIBER,LEISURE TIME ACTIVITIES
ACTIVITĂȚI EXTRACURRICULARE,EXTRACURRICULAR ACTIVITIES
ACTIVITĂȚI FIZICE,PHYSICAL ACTIVITIES
ACTIVITĂȚI ÎN AER LIBER,OUTDOOR PURSUITS
ACTIVITĂȚI POLIȚIENEȘTI,POLICE ACTIVITIES
ACTIVITĂȚI SOCIALE (TIMP LIBER),SOCIAL ACTIVITIES (LEISURE)
ACTIVITĂȚI SUBVERSIVE,SUBVERSIVE ACTIVITIES
ACTIVITATEA ECONOMICĂ A FORȚEI DE MUNCĂ,ECONOMIC ACTIVITY
ACUPUNCTURĂ,ACUPUNCTURE
ACUSTICĂ,ACOUSTICS
ADĂPOST PENTRU PERSOANE VULNERABILE,SHELTERED HOUSING
ADAPTARE SOCIALĂ,SOCIAL ADJUSTMENT
ADMINISTRAȚIA BISERICILOR,CHURCH ADMINISTRATION
ADMINISTRAȚIA JUSTIȚIEI,ADMINISTRATION OF JUSTICE
ADMINISTRAȚIA LOCALĂ,LOCAL GOVERNMENT
ADMINISTRAȚIA SPITALULUI,HOSPITAL ADMINISTRATION
ADMINISTRAȚIE,ADMINISTRATION
ADMINISTRAȚIE EDUCAȚIONALĂ,EDUCATIONAL ADMINISTRATION
ADMINISTRAȚIE PUBLICĂ,PUBLIC ADMINISTRATION
ADMINISTRARE DE PERSONAL,PERSONNEL MANAGEMENT
ADMINISTRARE ȘI PLANIFICARE CULTURALĂ,CULTURAL PLANNING AND ADMINISTRATION
ADMINISTRARE ȘI PLANIFICARE EDUCAȚIONALĂ,EDUCATIONAL PLANNING AND ADMINISTRATION
ADMINISTRAREA AFACERILOR,BUSINESS ADMINISTRATION
ADMINISTRAREA FINANȚELOR PERSONALE,PERSONAL FINANCE MANAGEMENT
ADMINISTRAREA MEDICAMENTELOR,ADMINISTRATION OF DRUGS
ADMINISTRAREA MEDIULUI,ENVIRONMENTAL MANAGEMENT
ADMINISTRAREA PRODUCȚIEI,PRODUCTION MANAGEMENT
ADMINISTRAREA RESURSELOR,RESOURCES MANAGEMENT
ADMINISTRATORI,ADMINISTRATORS
ADMINISTRATORI ÎN DOMENIUL EDUCAȚIONAL,EDUCATIONAL ADMINISTRATORS
ADMITEREA ÎN SISTEMUL EDUCAȚIONAL,EDUCATIONAL ADMISSION
ADOLESCENȚĂ,ADOLESCENCE
ADOLESCENȚI,ADOLESCENTS
ADOPȚIE,ADOPTION
ADULȚI,ADULTS
ADUNAREA GENERALĂ A NAȚIUNILOR UNITE,UNITED NATIONS GENERAL ASSEMBLY
AER CONDIȚIONAT,AIR CONDITIONING
AERONAVĂ,AIRCRAFT
AEROPORTURI,AIRPORTS
AȘEZĂRI UMANE,HUMAN SETTLEMENT
AFACERI,BUSINESSES
AFACERI MICI,SMALL BUSINESSES
AFECȚIUNI ALE PICIOARELOR,FOOT DISORDERS
AFECȚIUNI ALE SISTEMULUI DIGESTIV,DIGESTIVE SYSTEM DISORDERS
AFECȚIUNI ALE SPATELUI,SPINAL DISORDERS
AFECȚIUNI DENTARE,DENTAL DISEASES
AFECȚIUNI GENITALE,GENITAL DISORDERS
AFECȚIUNI MUSCULO-SCHELETICE,MUSCULOSKELETAL DISEASES
AFECȚIUNI UROGENITALE,UROGENITAL DISORDERS
AFECȚIUNI UROLOGICE,UROLOGIC DISEASES
AFILIERE,MEMBERSHIP
AFILIERE RELIGIOASĂ,RELIGIOUS AFFILIATION
AGENȚI IMOBILIARI,ESTATE AGENTS
AGRESIUNE,ASSAULT
AGRESIUNE SEXUALĂ,SEXUAL ASSAULT
AGRESIVITATE,AGGRESSIVENESS
AGRICULTURĂ DE SUBZISTENȚĂ,SUBSISTENCE AGRICULTURE
AIRBAG,AIRBAGS
AJUTOARE DE RĂZBOI,WAR RELIEF
AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,AIDS FOR THE DISABLED
AJUTOARE PENTRU VETERANI ȘI VĂDUVE DE RĂZBOI,WAR VETERANS' BENEFITS
AJUTOARE SOCIALE,SOCIAL SECURITY BENEFITS
AJUTOR ALIMENTAR,FOOD AID
AJUTOR DE DECES,DEATH ALLOWANCES
AJUTOR DE STAT LEGAL,STATE LEGAL AID
AJUTOR DE STAT PENTRU LOCUINȚĂ,HOUSING BENEFITS
AJUTOR ECONOMIC,ECONOMIC AID
AJUTOR FINANCIAR ,FINANCIAL SUPPORT
AJUTOR GUVERNAMENTAL,STATE AID
AJUTOR ÎN CAZ DE CALAMITĂȚI,DISASTER RELIEF
AJUTOR LA DOMICILIU,HOME HELP
AJUTOR MILITAR,MILITARY AID
AJUTOR PENTRU DEZVOLTARE (INTERNAȚIONAL),DEVELOPMENT AID (INTERNATIONAL)
AJUTOR PENTRU DEZVOLTARE (NAȚIONAL),DEVELOPMENT AID (NATIONAL)
AJUTOR SOCIAL,SOCIAL ASSISTANCE
AJUTOR VOLUNTAR,VOLUNTARY AID
ALĂPTARE,BREAST-FEEDING
ALCOOLISM,ALCOHOLISM
ALEGĂTORI,CONSTITUENTS
ALEGERE,CHOICE
ALEGERE EDUCAȚIONALĂ,EDUCATIONAL CHOICE
ALEGERI,ELECTIONS
ALEGERI ÎN RÂNDUL CLERICILOR,CHURCH ELECTIONS
ALEGERI INTERIMARE,BY-ELECTIONS
ALEGERI LOCALE,LOCAL GOVERNMENT ELECTIONS
ALEGERI NAȚIONALE,NATIONAL ELECTIONS
ALEGERI PARLAMENTARE,PARLIAMENTARY ELECTIONS
ALEGERI PREZIDENȚIALE,PRESIDENTIAL ELECTIONS
ALEGERI PROFESIONALE,OCCUPATIONAL CHOICE
ALEGERILE PENTRU PARLAMENTUL EUROPEAN,EUROPEAN PARLIAMENT ELECTIONS
ALEI,PATHS
ALERGARE ȘI ATLETISM,RUNNING
ALERGII,ALLERGIES
ALFABETIZARE,LITERACY
ALFABETIZARE ARITMETICĂ,NUMERACY
ALFABETIZARE ȘI EDUCAȚIE ARITMETICĂ,LITERACY AND NUMERACY EDUCATION
ALIANȚE INTERNAȚIONALE,INTERNATIONAL ALLIANCES
ALIENARE SOCIALĂ,SOCIAL ALIENATION
ALIMENTARE CU ENERGIE,ENERGY SUPPLY
ALIMENTARE CU ENERGIE ELECTRICĂ,ELECTRIC POWER SUPPLY
ALIMENTARE CU GAZ,GAS SUPPLY
ALIMENTE,FOOD
ALIMENTE MODIFICATE GENETIC,GENETICALLY MODIFIED FOOD
ALOCAȚIE DE MATERNITATE,MATERNITY PAY
ALTITUDINE,ALTITUDE
ALUNECĂRI DE PĂMÂNT,LANDSLIDES
AMEȚEALĂ,VERTIGO
AMENDAMENTE,BILLS
AMENINȚĂRI TERORISTE,TERRORIST THREATS
AMENZI,FINES
AMNISTIE,AMNESTY
AMPLASAMENT,LOCATION
AMPLASAMENT INDUSTRIAL,LOCATION OF INDUSTRY
AMPLASAMENTE PENTRU NOMAZI,TRAVELLERS' SITES
AMPLASAREA FERMELOR,LOCATION OF FARMS
AMPLASĂRI (LOCURI),SITES
AN ȘCOLAR,EDUCATIONAL YEAR
AN DE PAUZĂ ÎN TIMPUL STUDIILOR,GAP YEAR
ANALFABEȚI,ILLITERATES
ANALFABETISM,ILLITERACY
ANALIZĂ DE CONȚINUT,CONTENT ANALYSIS
ANALIZĂ DE DATE,DATA ANALYSIS
ANALIZĂ ECONOMICĂ,ECONOMIC ANALYSIS
ANALIZĂ LINGVISTICĂ,LINGUISTIC ANALYSIS
ANALIZĂ MULTIVARIATĂ,MULTIVARIATE ANALYSIS
ANALIZĂ SOCIO-ECONOMICĂ,SOCIO-ECONOMIC ANALYSIS
ANALIZĂ STATISTICĂ,STATISTICAL ANALYSIS
ANALIZE,ANALYSIS
ANARHIE,ANARCHISM
ANATOMIE,ANATOMY
ANCHETE,INQUESTS
ANGAJAȚI ÎN SERVICIILE DE SĂNĂTATE,HEALTH PROFESSIONALS
ANGAJAȚI ÎN TELEVIZIUNE,TELEWORKERS
ANGAJAȚII DIN BIROURI,OFFICE WORKERS
ANGAJAMENTE FINANCIARE,FINANCIAL COMMITMENTS
ANGAJARE,EMPLOYMENT
ANGAJARE CU JUMĂTATE DE NORMĂ,PART-TIME EMPLOYMENT
ANGAJARE CU NORMĂ ÎNTREAGĂ,FULL-TIME EMPLOYMENT
ANGAJARE ÎN STRĂINĂTATE,EMPLOYMENT ABROAD
ANGAJARE TEMPORARĂ,TEMPORARY EMPLOYMENT
ANGAJAREA FEMEILOR,WOMEN'S EMPLOYMENT
ANGAJAREA TINERILOR,YOUTH EMPLOYMENT
ANGAJATORI,EMPLOYERS
ANIMALE,ANIMALS
ANIMALE ACVATICE,AQUATIC ANIMALS
ANIMALE DE CASĂ,HOUSEHOLD PETS
ANIMALE DE LABORATOR,LABORATORY ANIMALS
ANIMALE DOMESTICE,DOMESTIC ANIMALS
ANIMALE SĂLBATICE,WILD ANIMALS
ANIVERSĂRI,ANNIVERSARIES
ANOTIMPURI,SEASONS
ANOXIE,ANOXIA
ȘANTAJ,EXTORTION
ANTENE DE TELEFONIE MOBILĂ,MOBILE PHONE MASTS
ANTIBIOTICE,ANTIBIOTICS
ANTICHITĂȚI,ANTIQUITIES
ANTISEMITISM,ANTI-SEMITISM
ANTRENAMENT SPORTIV,SPORTS TRAINING
ANTREPRENORI,ENTREPRENEURS
ANTROPOLOGIE,ANTHROPOLOGY
ANXIETATE,ANXIETY
APĂ DE SUPRAFAȚĂ,SURFACE WATER
APĂRARE,DEFENCE
APĂRARE (LEGALĂ),ADVOCACY (LEGAL)
APĂRARE ANTINUCLEARĂ,NUCLEAR DEFENCE
APĂRARE CIVILĂ,CIVIL DEFENCE
APARTAMENTE,APARTMENTS
APARTAMENTE ÎN BLOCURI ÎNALTE ȘI FOARTE ÎNALTE,HIGH RISE FLATS
APARTENEȚA LA SINDICAT,TRADE UNION MEMBERSHIP
APARTENENȚĂ POLITICĂ,POLITICAL ALLEGIANCE
APATIE,APATHY
APEL (JURIDIC),APPEALS (LEGAL)
APELURI TELEFONICE,TELEPHONE CALLS
APLICAȚII ALE CALCULATORULUI,COMPUTER APPLICATIONS
APROVIZIONARE CU APĂ,WATER SUPPLY
APTITUDINI CETĂȚENEȘTI,CITIZENSHIP SKILLS
ARANJAMENTUL TIMPULUI DE LUCRU,ARRANGEMENT OF WORKING TIME
AREST,ARREST
ARHEOLOGIE,ARCHAEOLOGY
ARHITECȚI,ARCHITECTS
ARHITECTURĂ,ARCHITECTURE
ȚĂRI BENEFICIARE,RECIPIENT COUNTRIES
ȚĂRI DEZVOLTATE,DEVELOPED COUNTRIES
ȚĂRI DONATOARE,DONOR COUNTRIES
ȚĂRI ÎN CURS DE DEZVOLTARE,DEVELOPING COUNTRIES
ARITMETICĂ,ARITHMETIC
ARMATE,ARMIES
ARSURI SOLARE,SUNBURN
ARTĂ FOTOGRAFICĂ,PHOTOGRAPHIC ART
ARTA SPECTACOLULUI,PERFORMING ARTS
ARTE,ARTS
ARTE VIZUALE,VISUAL ARTS
ARTRITĂ,ARTHRITIS
ASASINARE,ASSASSINATION
ASCENSOR,ELEVATORS
ASCULTARE,LISTENING
ASIGURARE,INSURANCE
ASIGURARE MEDICALĂ,MEDICAL INSURANCE
ASIGURĂRI DE VIAȚĂ,LIFE INSURANCE
ASISTENȚĂ INTERNAȚIONALĂ,AID
ASISTENȚĂ MEDICALĂ,MEDICAL CARE
ASISTENȚĂ SOCIALĂ,SOCIAL WORK
ASISTENȚĂ TEHNICĂ,TECHNICAL ASSISTANCE
ASISTENȚI SOCIALI,SOCIAL WORKERS
ASISTENȚI SOCIALI PENTRU TINERI,YOUTH WORKERS
ASISTENT PROFESOR,CLASSROOM ASSISTANTS
ASISTENTE MEDICALE,NURSES
ASOCIAȚII,ASSOCIATIONS
ASOCIAȚII ALE AUTOMOBILIȘTILOR,MOTORING ASSOCIATIONS
ASOCIAȚII ALE VETERANILOR DE RĂZBOI,WAR VETERANS ASSOCIATIONS
ASOCIAȚII COMERCIALE,TRADE ASSOCIATIONS
ASOCIAȚII CULTURALE,CULTURAL ASSOCIATIONS
ASOCIAȚII DE FERMIERI, AGRICULTORI ȘI CRESCĂTORI DE ANIMALE
ASOCIAȚII EDUCAȚIONALE,EDUCATIONAL ASSOCIATIONS
ASOCIAȚII PROFESIONALE,PROFESSIONAL ASSOCIATIONS
ASOCIAȚII RURALE,RURAL ASSOCIATIONS
ASPECTE ECONOMICE, SOCIALE ȘI POLITICE
ASPECTELE ECONOMICE ALE UNEI LOCUINȚE,HOUSING ECONOMICS
ASPIRAȚIE,ASPIRATION
ASTM,ASTHMA
ASTROLOGIE,ASTROLOGY
ASTRONOMIE,ASTRONOMY
ATEISM,ATHEISM
AȘTEPTĂRI,EXPECTATION
AȘTEPTĂRI EDUCAȚIONALE,EDUCATIONAL EXPECTATIONS
AȘTEPTĂRI FINANCIARE,FINANCIAL EXPECTATIONS
ATESTAT VOCAȚIONAL,VOCATIONAL EDUCATION CERTIFICATES
ATITUDINE PARENTALĂ,PARENT ATTITUDE
ATITUDINEA FAȚĂ DE MUNCĂ,WORK ATTITUDE
ATITUDINI,ATTITUDES
ATITUDINI POLITICE,POLITICAL ATTITUDES
ATITUDINI SOCIALE,SOCIAL ATTITUDES
ATRACȚIE INTERPERSONALĂ,INTERPERSONAL ATTRACTION
AUTOBUZE,BUSES
AUTO-DISCIPLINĂ,SELF-DISCIPLINE
AUTOMATIZARE,AUTOMATION
AUTONOMIE LA LOCUL DE MUNCĂ,AUTONOMY AT WORK
AUTORI,AUTHORS
AUTORITĂȚI EDUCAȚIONALE LOCALE,LOCAL EDUCATION AUTHORITIES
AUTORITARIANISM,AUTHORITARIANISM
AUTORITATE,AUTHORITY
AUTORITATEA PROFESORULUI,TEACHER AUTHORITY
AUTOSERVIRE,SELF-SERVICE
AUTOSTOP,HITCHHIKING
