Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
ABILITY,COMPETENȚĂ,NT        ,ACADEMIC ABILITY,ABILITATE ACADEMICĂ
ABILITY,COMPETENȚĂ,NT        ,CITIZENSHIP SKILLS,APTITUDINI CETĂȚENEȘTI
ABILITY,COMPETENȚĂ,NT        ,COMMUNICATION SKILLS,ABILITĂȚI DE COMUNICARE
ABILITY,COMPETENȚĂ,NT        ,MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA
ABILITY,COMPETENȚĂ,NT        ,NUMERACY,ALFABETIZARE ARITMETICĂ
ABILITY,COMPETENȚĂ,NT        ,PERSONAL EFFICACY,EFICACITATE PERSONALĂ
ABILITY,COMPETENȚĂ,NT        ,SOCIAL SKILLS,ABILITĂȚI SOCIALE
ABILITY,COMPETENȚĂ,NT        ,TEACHING SKILLS,COMPETENȚE DIDACTICE
ABILITY,COMPETENȚĂ,RT        ,ABILITY EVALUATION,EVALUAREA COMPETENȚEI
ABILITY,COMPETENȚĂ,RT        ,ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE
ABILITY,COMPETENȚĂ,RT        ,APTITUDE TESTS,TESTE DE APTITUDINI
ABILITY,COMPETENȚĂ,RT        ,ASPIRATION,ASPIRAȚIE
ABILITY,COMPETENȚĂ,RT        ,INTELLIGENCE,INTELIGENȚĂ
ABILITY,COMPETENȚĂ,RT        ,LEARNING,ÎNVĂȚARE
ABILITY,COMPETENȚĂ,RT        ,SPECIALIZATION,SPECIALIZARE
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,BT        ,EVALUATION,EVALUARE
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,ABILITY,COMPETENȚĂ
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,DISABILITIES,DIZABILITĂȚI
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,EDUCATIONAL ASSESSMENT,EVALUARE EDUCAȚIONALĂ
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,LITERACY,ALFABETIZARE
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,NUMERACY,ALFABETIZARE ARITMETICĂ
ABILITY EVALUATION,EVALUAREA COMPETENȚEI,RT        ,PERSONNEL SELECTION,SELECȚIE DE PERSONAL
