Preferred Term,UF
A ASCULTA LA RADIO,ASCULTĂTORI RADIO
A ASCULTA LA RADIO,MELOMANI
A FI CONȘTIENT,A FI INFORMAT
ABILITĂȚI DE SCRIERE,SCRIS
ABILITĂȚI LINGVISTICE,APTITUDINI LINGVISTICE
ABILITĂȚI LINGVISTICE,COMPETENȚE LINGVISTICE
ABILITĂȚI VERBALE,COMUNICARE VERBALĂ
ABILITATE ACADEMICĂ,APTITUDINE ACADEMICĂ
ABUZUL VÂRSTNICILOR,ABUZUL BĂTRÂNILOR
ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,ACCES LA CALCULATOARE
ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,ACCES LA TEHNOLOGIA INFORMAȚIEI
ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI COMUNICAȚIILOR
ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,ACCES LA TIC
ACCIDENTE CASNICE,ACCIDENTE DOMESTICE
ACCIDENTE LA TRANSPORT,ACCIDENTE DE TRANSPORT
ACCIDENTE LA TRANSPORT,ACCIDENTE IN TRANSPORT
ACCIDENTE NUCLEARE,ACCIDENTUL DE LA CERNOBÂL
ACȚIUNE COMUNITARĂ,GRUPURI DE ACȚIUNE COMUNITARĂ
ACȚIUNI,ACȚIONARIAT
ACȚIUNI ALE CONSUMATORILOR,PLÂNGERILE CLIENȚILOR
ACȚIUNI ALE CONSUMATORILOR,PLÂNGERILE CONSUMATORILOR
ACOPERIRE MASS MEDIA,ACOPERIRE MEDIA
ACORDURI COMERCIALE,CONTRACTE COMERCIALE
ACORDURI INTERNAȚIONALE,INSTRUMENTE INTERNAȚIONALE
ACTIVITĂȚI ARTISTICE,EXPRIMARE ARTISTICĂ
ACTIVITĂȚI BANCARE ONLINE,ACTIVITĂȚI BANCARE PRIN INTERMEDIUL INTERNETULUI
ACTIVITĂȚI BANCARE ONLINE,E-BANKING
ACTIVITĂȚI CULTURALE,ACTIVITĂȚI SOCIO-CULTURALE
ACTIVITĂȚI DE TIMP LIBER,ACTIVITĂȚI RECREATIVE
ACUSTICĂ,SUNET
ACUSTICĂ,ZGOMOT
ADMINISTRAȚIA LOCALĂ,AUTORITĂȚI LOCALE
ADMINISTRAȚIA LOCALĂ,CONSILIU LOCAL
ADMINISTRAȚIE EDUCAȚIONALĂ,ADMINISTRAȚIA ȘCOLILOR
ADMINISTRAȚIE EDUCAȚIONALĂ,ADMINISTRAȚIA FACULTĂȚILOR
ADMINISTRAȚIE EDUCAȚIONALĂ,ADMINISTRAȚIA UNIVERSITĂȚILOR
ADMINISTRAȚIE EDUCAȚIONALĂ,CORPURI ADMINISTRATIVE EDUCAȚIONALE
ADMINISTRAȚIE EDUCAȚIONALĂ,MANAGEMENT EDUCAȚIONAL
ADMINISTRAȚIE EDUCAȚIONALĂ,STRUCTURI ADMINISTRATIVE EDUCAȚIONALE
ADMINISTRAREA FINANȚELOR PERSONALE,MANAGEMENTUL FINANȚELOR PERSONALE
ADMINISTRAREA MEDIULUI,CONTROLUL MEDIULUI
ADMINISTRAREA MEDIULUI,MANAGEMENTUL MEDIULUI
ADMINISTRAREA PRODUCȚIEI,MANAGEMENTUL PRODUCȚIEI
ADMINISTRAREA RESURSELOR,MANAGEMENTUL RESURSELOR
ADMINISTRATORI ÎN DOMENIUL EDUCAȚIONAL,DECANI
ADMINISTRATORI ÎN DOMENIUL EDUCAȚIONAL,DIRECTORI DE ȘCOLI
ADMITEREA ÎN SISTEMUL EDUCAȚIONAL,ADMITERE LA LICEU
ADMITEREA ÎN SISTEMUL EDUCAȚIONAL,ADMITERE LA UNIVERSITATE
AEROPORTURI,PISTE DE ATERIZARE
AEROPORTURI,TERMINALE
AFACERI,ANTREPRIZE
AFACERI,ÎNTREPRINDERE
AFACERI,ORGANIZAȚIE CU CAPITAL PRIVAT
AFACERI MICI,AFACERI DE FAMILIE
AFECȚIUNI ALE SISTEMULUI DIGESTIV,BOLI ALE SISTEMULUI DIGESTIV
AFECȚIUNI ALE SPATELUI,DURERI DE SPATE
AFECȚIUNI ALE SPATELUI,PROBLEME ALE COLOANEI VERTEBRALE
AFECȚIUNI ALE SPATELUI,PROTUZIE DISCALĂ
AFECȚIUNI DENTARE,CARII DENTARE
AFECȚIUNI MUSCULO-SCHELETICE,BOLI MUSCULO-SCHELETALE
AFECȚIUNI UROGENITALE,BOLI UROGENITALE
AFILIERE RELIGIOASĂ,CONFESIUNE RELIGIOASĂ
AGRESIVITATE,AGRESIUNE (PERSONAL)
AJUTOR DE STAT LEGAL,AVOCAT DIN OFICIU
AJUTOR FINANCIAR ,SUSȚINERE FINANCIARĂ
ALERGARE ȘI ATLETISM,JOGGING
ALERGII,HIPERSENSIBILITATE
ALERGII,RINITĂ ALERGICĂ
ALFABETIZARE,INSTRUCȚIE
ALIANȚE INTERNAȚIONALE,ALIANȚE MILITARE
ALIMENTARE CU ENERGIE ELECTRICĂ,COMPANII DE ELECTRICITATE
ALIMENTARE CU ENERGIE ELECTRICĂ,OFERTA DE ELECTRICITATE
ALIMENTARE CU ENERGIE ELECTRICĂ,OFERTA DE ENERGIE ELECTRICĂ
ALIMENTARE CU ENERGIE ELECTRICĂ,SISTEME DE ENERGIE ELECTRICĂ
AMPLASAMENT,LOCAȚIE
ANALIZĂ MULTIVARIATĂ,REGRESIE
ANGAJAȚI ÎN SERVICIILE DE SĂNĂTATE,PERSONAL MEDICAL
ANGAJAȚI ÎN SERVICIILE DE SĂNĂTATE,PERSONAL SANITAR
ANIVERSĂRI,ANIVERSAREA NUNȚI
ANIVERSĂRI,CELEBRĂRI
ANIVERSĂRI,ZILE DE NAȘTERE
ANOXIE,DEFICIENȚĂ DE OXIGEN
ANOXIE,HIPOXIE
ȘANTAJ,DELAPIDARE
ANTROPOLOGIE,ANTROPOLIGIE FIZICĂ
ANTROPOLOGIE,ANTROPOLOGIE CULTURALĂ
ANTROPOLOGIE,ANTROPOLOGIE SOCIALĂ
ANXIETATE,GRIJI
ANXIETATE,ÎNGRIJORARE
APĂRARE (LEGALĂ),PLEDOARIE
