RADIO LISTENING,A ASCULTA LA RADIO
LISTENING TO MUSIC,A ASCULTA MUZICĂ
KNOWLEDGE (AWARENESS),A FI CONȘTIENT
ACCOUNTABILITY,A FI RESPONSABIL
PICNICKING,A IEȘI LA PICNIC
SITTING,A STA AȘEZAT
SUNBATHING,A STA LA PLAJĂ
LIVING ABROAD,A TRĂI ÎN STRĂINĂTATE
SCHOOL-LEAVING,ABANDON ȘCOLAR
SECONDARY SCHOOL LEAVING,ABANDONAREA STUDIILOR LICEALE
READING SKILLS,ABILITĂȚI DE CITIRE
COMMUNICATION SKILLS,ABILITĂȚI DE COMUNICARE
WRITING SKILLS,ABILITĂȚI DE SCRIERE
LANGUAGE SKILLS,ABILITĂȚI LINGVISTICE
SOCIAL SKILLS,ABILITĂȚI SOCIALE
VERBAL SKILLS,ABILITĂȚI VERBALE
ACADEMIC ABILITY,ABILITATE ACADEMICĂ
ABSENTEEISM,ABSENTEISM
GRADUATES,ABSOLVENȚI
POST-GRADUATES,ABSOLVENȚI DE STUDII DE LICENȚĂ
SEXUAL ABSTINENCE,ABSTINENȚĂ SEXUALĂ
ABUSE,ABUZ
SOLVENT ABUSE,ABUZ DE SOLVENȚI
SEXUAL ABUSE,ABUZ SEXUAL
CHILD ABUSE,ABUZUL COPIILOR
CHILD SEXUAL ABUSE,ABUZUL SEXUAL AL COPIILOR
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR
ACCESS TO EDUCATION,ACCES LA EDUCAȚIE
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE
ACCESS TO FACILITIES,ACCES LA INFRASTRUCTURĂ
INTERNET ACCESS,ACCES LA INTERNET
ACCESS TO HEALTH SERVICES,ACCES LA SERVICII DE SĂNĂTATE
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR
ACCESS TO COUNTRYSIDE,ACCES LA ZONE RURALE
TANTRUMS,ACCESE DE FURIE
ACCIDENTS,ACCIDENTE
ACCIDENTS IN THE HOME,ACCIDENTE CASNICE
ACCIDENTS AT WORK,ACCIDENTE DE MUNCĂ
RAIL ACCIDENTS,ACCIDENTE FEROVIARE
AIR ACCIDENTS,ACCIDENTE ÎN AER
INDUSTRIAL INJURIES,ACCIDENTE INDUSTRIALE
TRANSPORT ACCIDENTS,ACCIDENTE LA TRANSPORT
MARINE ACCIDENTS,ACCIDENTE MARITIME
NUCLEAR ACCIDENTS,ACCIDENTE NUCLEARE
ROAD ACCIDENTS,ACCIDENTE RUTIERE
HOME BUYING,ACHIZIȚIE DE LOCUINȚĂ
COMMUNITY ACTION,ACȚIUNE COMUNITARĂ
POLITICAL ACTION,ACȚIUNE POLITICĂ
REVOLUTIONARY ACTION,ACȚIUNE REVOLUȚIONARĂ
SHARES,ACȚIUNI
CONSUMER ACTION,ACȚIUNI ALE CONSUMATORILOR
LEGAL ACTIONS,ACȚIUNI LEGALE
MASS MEDIA COVERAGE,ACOPERIRE MASS MEDIA
ROOFS,ACOPERIȘURI
